T (K);H (kJ/kmol)
127,05;-88115,97895
127,1;-88113,1738
127,15;-88110,36864
127,2;-88107,56348
127,25;-88104,75833
127,3;-88101,95317
127,35;-88099,14802
127,4;-88096,30099
127,45;-88093,49584
127,5;-88090,69068
127,55;-88087,88552
127,6;-88085,08037
127,65;-88082,23334
127,7;-88079,42819
127,75;-88076,62303
127,8;-88073,81788
127,85;-88071,01272
127,9;-88068,1657
127,95;-88065,36054
128;-88062,55538
128,05;-88059,75023
128,1;-88056,9032
128,15;-88054,09805
128,2;-88051,29289
128,25;-88048,44587
128,3;-88045,64071
128,35;-88042,83556
128,4;-88039,98853
128,45;-88037,18338
128,5;-88034,37822
128,55;-88031,5312
128,6;-88028,72604
128,65;-88025,87902
128,7;-88023,07386
128,75;-88020,2687
128,8;-88017,42168
128,85;-88014,61652
128,9;-88011,7695
128,95;-88008,96434
129;-88006,11732
129,05;-88003,31216
129,1;-88000,46514
129,15;-87997,65998
129,2;-87994,81296
129,25;-87992,0078
129,3;-87989,16078
129,35;-87986,35562
129,4;-87983,5086
129,45;-87980,66158
129,5;-87977,85642
129,55;-87975,0094
129,6;-87972,20424
129,65;-87969,35722
129,7;-87966,51019
129,75;-87963,70504
129,8;-87960,85801
129,85;-87958,01099
129,9;-87955,20583
129,95;-87952,35881
130;-87949,51178
130,05;-87946,70663
130,1;-87943,8596
130,15;-87941,01258
130,2;-87938,16556
130,25;-87935,3604
130,3;-87932,51338
130,35;-87929,66635
130,4;-87926,81933
130,45;-87924,01417
130,5;-87921,16715
130,55;-87918,32012
130,6;-87915,4731
130,65;-87912,62608
130,7;-87909,77905
130,75;-87906,9739
130,8;-87904,12687
130,85;-87901,27985
130,9;-87898,43282
130,95;-87895,5858
131;-87892,73878
131,05;-87889,89175
131,1;-87887,04473
131,15;-87884,1977
131,2;-87881,35068
131,25;-87878,50366
131,3;-87875,65663
131,35;-87872,80961
131,4;-87869,96258
131,45;-87867,11556
131,5;-87864,26854
131,55;-87861,42151
131,6;-87858,57449
131,65;-87855,72746
131,7;-87852,88044
131,75;-87850,03342
131,8;-87847,18639
131,85;-87844,33937
131,9;-87841,49234
131,95;-87838,60345
132;-87835,75643
132,05;-87832,9094
132,1;-87830,06238
132,15;-87827,21536
132,2;-87824,36833
132,25;-87821,47944
132,3;-87818,63242
132,35;-87815,78539
132,4;-87812,93837
