T (K);H (kJ/kmol)
144,15;-86652,77609
144,2;-86648,54742
144,25;-86644,36062
144,3;-86640,13195
144,35;-86635,94515
144,4;-86631,71648
144,45;-86627,52968
144,5;-86623,30102
144,55;-86619,07235
144,6;-86614,84368
144,65;-86610,61501
144,7;-86606,42821
144,75;-86602,19954
144,8;-86597,97088
144,85;-86593,70034
144,9;-86589,47167
144,95;-86585,243
145;-86581,01434
145,05;-86576,7438
145,1;-86572,51513
145,15;-86568,28646
145,2;-86564,01593
145,25;-86559,78726
145,3;-86555,51672
145,35;-86551,24619
145,4;-86547,01752
145,45;-86542,74698
145,5;-86538,47645
145,55;-86534,20591
145,6;-86529,93538
145,65;-86525,66484
145,7;-86521,3943
145,75;-86517,12377
145,8;-86512,85323
145,85;-86508,5827
145,9;-86504,27029
145,95;-86499,99976
146;-86495,68735
146,05;-86491,41682
146,1;-86487,10441
146,15;-86482,83388
146,2;-86478,52147
146,25;-86474,20907
146,3;-86469,93853
146,35;-86465,62613
146,4;-86461,31372
146,45;-86457,00132
146,5;-86452,68892
146,55;-86448,37651
146,6;-86444,06411
146,65;-86439,7517
146,7;-86435,39743
146,75;-86431,08503
146,8;-86426,77262
146,85;-86422,41835
146,9;-86418,10595
146,95;-86413,75168
147;-86409,43927
147,05;-86405,085
147,1;-86400,73073
147,15;-86396,41832
147,2;-86392,06405
147,25;-86387,70978
147,3;-86383,35551
147,35;-86379,00124
147,4;-86374,64696
147,45;-86370,29269
147,5;-86365,89655
147,55;-86361,54228
147,6;-86357,18801
147,65;-86352,79187
147,7;-86348,4376
147,75;-86344,04146
147,8;-86339,68718
147,85;-86335,29104
147,9;-86330,8949
147,95;-86326,54063
148;-86322,14449
148,05;-86317,74835
148,1;-86313,35221
148,15;-86308,95607
148,2;-86304,55993
148,25;-86300,16379
148,3;-86295,76765
148,35;-86291,32964
148,4;-86286,9335
148,45;-86282,53736
148,5;-86278,09936
148,55;-86273,70322
148,6;-86269,26521
148,65;-86264,8272
148,7;-86260,43106
148,75;-86255,99305
148,8;-86251,55504
148,85;-86247,11704
148,9;-86242,67903
148,95;-86238,24102
149;-86233,80301
149,05;-86229,365
149,1;-86224,927
149,15;-86220,48899
149,2;-86216,00911
149,25;-86211,5711
149,3;-86207,09123
149,35;-86202,65322
149,4;-86198,17334
149,45;-86193,69347
149,5;-86189,25546
149,55;-86184,77558
149,6;-86180,29571
149,65;-86175,81583
149,7;-86171,33596
149,75;-86166,85608
149,8;-86162,3762
149,85;-86157,89633
149,9;-86153,37458
149,95;-86148,89471
150;-86144,41483
150,05;-86139,89309
150,1;-86135,41321
150,15;-86130,89147
150,2;-86126,41159
150,25;-86121,88985
150,3;-86117,3681
150,35;-86112,84636
150,4;-86108,32462
150,45;-86103,80287
150,5;-86099,28113
150,55;-86094,75938
150,6;-86090,23764
150,65;-86085,7159
150,7;-86081,15228
150,75;-86076,63054
150,8;-86072,06693
150,85;-86067,54518
150,9;-86062,98157
150,95;-86058,45983
151;-86053,89622
151,05;-86049,3326
151,1;-86044,76899
151,15;-86040,20538
151,2;-86035,64177
151,25;-86031,07816
151,3;-86026,51454
151,35;-86021,95093
151,4;-86017,34545
151,45;-86012,78184
151,5;-86008,21823
151,55;-86003,61275
151,6;-85999,00727
151,65;-85994,44366
151,7;-85989,83818
151,75;-85985,2327
151,8;-85980,62722
151,85;-85976,0636
151,9;-85971,41626
151,95;-85966,81078
152;-85962,2053
152,05;-85957,59982
152,1;-85952,99434
152,15;-85948,34699
152,2;-85943,74151
152,25;-85939,13603
152,3;-85934,48868
152,35;-85929,84133
152,4;-85925,23585
152,45;-85920,5885
152,5;-85915,94116
152,55;-85911,29381
152,6;-85906,64646
152,65;-85901,99911
152,7;-85897,35176
152,75;-85892,70442
152,8;-85888,0152
152,85;-85883,36785
152,9;-85878,67864
152,95;-85874,03129
153;-85869,34207
153,05;-85864,69472
153,1;-85860,00551
153,15;-85855,31629
153,2;-85850,62708
153,25;-85845,93786
153,3;-85841,24864
153,35;-85836,55943
153,4;-85831,87021
153,45;-85827,181
153,5;-85822,44991
153,55;-85817,7607
153,6;-85813,02961
153,65;-85808,3404
153,7;-85803,60931
153,75;-85798,9201
153,8;-85794,18901
153,85;-85789,45793
153,9;-85784,72684
153,95;-85779,99576
154;-85775,26468
154,05;-85770,53359
154,1;-85765,76064
154,15;-85761,02956
154,2;-85756,29847
154,25;-85751,52552
154,3;-85746,79444
154,35;-85742,02148
154,4;-85737,24853
154,45;-85732,51745
154,5;-85727,7445
154,55;-85722,97154
154,6;-85718,19859
154,65;-85713,42564
154,7;-85708,65269
154,75;-85703,83787
154,8;-85699,06492
154,85;-85694,29196
154,9;-85689,47714
154,95;-85684,66232
155;-85679,88937
155,05;-85675,07455
155,1;-85670,25973
155,15;-85665,44491
155,2;-85660,63009
155,25;-85655,81527
155,3;-85651,00045
155,35;-85646,18563
155,4;-85641,37081
155,45;-85636,51412
155,5;-85631,6993
155,55;-85626,84262
155,6;-85622,0278
155,65;-85617,17111
155,7;-85612,31442
155,75;-85607,45773
155,8;-85602,60104
155,85;-85597,74436
155,9;-85592,88767
155,95;-85588,03098
156;-85583,17429
156,05;-85578,3176
156,1;-85573,41905
156,15;-85568,56236
156,2;-85563,6638
156,25;-85558,76525
156,3;-85553,90856
156,35;-85549,01
156,4;-85544,11145
156,45;-85539,21289
156,5;-85534,31434
156,55;-85529,37391
156,6;-85524,47536
156,65;-85519,5768
156,7;-85514,63638
156,75;-85509,73782
156,8;-85504,7974
156,85;-85499,89884
156,9;-85494,95842
156,95;-85490,01799
157;-85485,07757
157,05;-85480,13714
157,1;-85475,19672
157,15;-85470,2563
157,2;-85465,274
157,25;-85460,33358
157,3;-85455,35129
157,35;-85450,41086
157,4;-85445,42857
157,45;-85440,44628
157,5;-85435,50586
157,55;-85430,52356
157,6;-85425,54127
157,65;-85420,55898
157,7;-85415,53482
157,75;-85410,55253
157,8;-85405,57024
157,85;-85400,54608
157,9;-85395,56378
157,95;-85390,53962
158;-85385,51546
158,05;-85380,53317
158,1;-85375,50901
158,15;-85370,48485
158,2;-85365,46069
158,25;-85360,43653
158,3;-85355,3705
158,35;-85350,34634
